complex.id,burial,n_pep_contacted,chain_balance,n_hbond,D2_pep24,fp_b0_frac_r7,H_cell,L_canon,ab_imb,neg_energy,log_z,log_lik,mu_star,n_contacts
9nmu,1800.990823,8.000000,0.450000,5.000000,10.017391,0.041667,0.889622,1.071414,0.041667,24.562159,47.336509,-22.774994,-0.099993,20.000000
9nmv,2036.258552,8.000000,0.500000,4.000000,9.250765,0.074074,0.873609,1.078358,0.127273,19.193772,44.813542,-25.638772,0.181659,22.000000
9nmw,1975.889205,8.000000,0.478261,5.000000,9.789644,0.076923,0.880937,1.121735,0.127273,21.083349,48.218354,-27.145642,0.177354,23.000000
9nmx,2126.367723,8.000000,0.500000,5.000000,9.011494,0.074074,0.869976,1.116825,0.142857,22.200396,47.439771,-25.264410,0.086715,22.000000
9nmy,1993.273271,8.000000,0.478261,5.000000,9.789644,0.076923,0.880937,1.121735,0.127273,23.335543,49.332357,-25.980067,0.124640,23.000000
9pbg,1831.809269,7.000000,0.458333,2.000000,7.147844,0.083333,0.781046,0.680244,0.152542,33.497316,55.815718,-22.315757,0.082147,24.000000
9pbh,1787.569940,6.000000,0.458333,2.000000,6.989091,0.041667,0.796164,0.434817,0.193548,25.625853,51.097676,-25.476778,0.356357,24.000000
9ru5,1951.131595,6.000000,0.363636,3.000000,7.401813,0.037037,0.835732,1.512131,-0.085714,28.272304,55.668063,-27.404894,-0.416087,22.000000
9rup,1612.866965,4.000000,0.071429,1.000000,3.313725,0.142857,0.509418,1.408767,-0.384615,26.762117,47.722698,-20.958588,-0.415687,14.000000
9rxm,1829.529126,5.000000,0.315789,2.000000,7.476923,0.043478,0.789422,3.928023,0.148148,26.177416,54.758872,-28.592402,-0.807820,19.000000
9wbd,1835.535801,5.000000,0.172414,4.000000,8.229314,0.080000,0.844760,0.481439,-0.220339,16.914082,53.180598,-36.281750,0.694166,28.000000
